REFERENCE POINT,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes,Variance
/Devices/Shirley-MA/South/Inverters/1/Control/Reactive_Power_Time_Window,Inverters.1.Control.Reactive_Power_Time_Window,,,>H,TRUE,642,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/South/Inverters/1/Control/Reactive_Power_Timeout_Window,Inverters.1.Control.Reactive_Power_Timeout_Window,,,>H,TRUE,643,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/South/Inverters/1/Control/Reactive_Power_Ramp_Time,Inverters.1.Control.Reactive_Power_Ramp_Time,,,>H,TRUE,644,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/South/Inverters/1/Control/Power_Factor_Time_Window,Inverters.1.Control.Power_Factor_Time_Window,,,>H,TRUE,645,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/South/Inverters/1/Control/Power_Factor_Timeout_Window,Inverters.1.Control.Power_Factor_Timeout_Window,,,>H,TRUE,646,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/South/Inverters/1/Control/Power_Factor_Ramp_Time,Inverters.1.Control.Power_Factor_Ramp_Time,,,>H,TRUE,647,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/South/Inverters/1/Control/Power_Factor_Setpoint,Inverters.1.Control.Power_Factor_Setpoint,,,>h,TRUE,648,,"Only in ""Device-Level"" Mode: Pass through command per Solectria ModBus 9",
/Devices/Shirley-MA/South/Inverters/1/Device/CommSt,Inverters.1.Device.CommSt,,,>H,FALSE,71,,Overall interface status,
/Devices/Shirley-MA/South/Inverters/1/Meter/A,Inverters.1.Meter.A,A,,>h,FALSE,131,,Total AC Current,
/Devices/Shirley-MA/South/Inverters/1/Meter/AphA,Inverters.1.Meter.AphA,A,,>h,FALSE,132,,Phase A Current,
/Devices/Shirley-MA/South/Inverters/1/Meter/AphB,Inverters.1.Meter.AphB,A,,>h,FALSE,133,,Phase B Current,
/Devices/Shirley-MA/South/Inverters/1/Meter/AphC,Inverters.1.Meter.AphC,A,,>h,FALSE,134,,Phase C Current,
/Devices/Shirley-MA/South/Inverters/1/Meter/PhV,Inverters.1.Meter.PhV,V,,>h,FALSE,136,,Line to Neutral AC Voltage (average of active phases),
/Devices/Shirley-MA/South/Inverters/1/Meter/PhVphA,Inverters.1.Meter.PhVphA,V,,>h,FALSE,137,,Phase Voltage AN,
/Devices/Shirley-MA/South/Inverters/1/Meter/PhVphB,Inverters.1.Meter.PhVphB,V,,>h,FALSE,138,,Phase Voltage BN,
/Devices/Shirley-MA/South/Inverters/1/Meter/PhVphC,Inverters.1.Meter.PhVphC,V,,>h,FALSE,139,,Phase Voltage CN,
/Devices/Shirley-MA/South/Inverters/1/Meter/PPV,Inverters.1.Meter.PPV,V,,>h,FALSE,140,,Line to Line AC Voltage (average of active phases),
/Devices/Shirley-MA/South/Inverters/1/Meter/Hz,Inverters.1.Meter.Hz,Hz,,>h,FALSE,145,,Frequency,
/Devices/Shirley-MA/South/Inverters/1/Meter/W,Inverters.1.Meter.W,W,,>h,FALSE,147,,Total Real Power,
/Devices/Shirley-MA/South/Inverters/1/Meter/WphA,Inverters.1.Meter.WphA,W,,>h,FALSE,148,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/WphB,Inverters.1.Meter.WphB,W,,>h,FALSE,149,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/WphC,Inverters.1.Meter.WphC,W,,>h,FALSE,150,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/W_SF,Inverters.1.Meter.W_SF,,,>H,FALSE,151,,Real Power scale factor,
/Devices/Shirley-MA/South/Inverters/1/Meter/VA,Inverters.1.Meter.VA,VA,,>h,FALSE,152,,AC Apparent Power,
/Devices/Shirley-MA/South/Inverters/1/Meter/VAphA,Inverters.1.Meter.VAphA,VA,,>h,FALSE,153,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/VAphB,Inverters.1.Meter.VAphB,VA,,>h,FALSE,154,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/VAphC,Inverters.1.Meter.VAphC,VA,,>h,FALSE,155,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/VA_SF,Inverters.1.Meter.VA_SF,,,>H,FALSE,156,,Apparent Power scale factor,
/Devices/Shirley-MA/South/Inverters/1/Meter/VAR,Inverters.1.Meter.VAR,var,,>h,FALSE,157,,Reactive Power,
/Devices/Shirley-MA/South/Inverters/1/Meter/VARphA,Inverters.1.Meter.VARphA,var,,>h,FALSE,158,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/VARphB,Inverters.1.Meter.VARphB,var,,>h,FALSE,159,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/VARphC,Inverters.1.Meter.VARphC,var,,>h,FALSE,160,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/PF,Inverters.1.Meter.PF,Pct,,>h,FALSE,162,,Power Factor,
/Devices/Shirley-MA/South/Inverters/1/Meter/PFphA,Inverters.1.Meter.PFphA,Pct,,>h,FALSE,163,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/PFphB,Inverters.1.Meter.PFphB,Pct,,>h,FALSE,164,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/PFphC,Inverters.1.Meter.PFphC,Pct,,>h,FALSE,165,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/PF_SF,Inverters.1.Meter.PF_SF,,,>H,FALSE,166,,Power Factor scale factor,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhExp,Inverters.1.Meter.TotWhExp,Wh,,>I,FALSE,167,,Total Real Energy Exported,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhExpPhA,Inverters.1.Meter.TotWhExpPhA,Wh,,>I,FALSE,169,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhExpPhB,Inverters.1.Meter.TotWhExpPhB,Wh,,>I,FALSE,171,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhExpPhC,Inverters.1.Meter.TotWhExpPhC,Wh,,>I,FALSE,173,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhImp,Inverters.1.Meter.TotWhImp,Wh,,>I,FALSE,175,,Total Real Energy Imported,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhImpPhA,Inverters.1.Meter.TotWhImpPhA,Wh,,>I,FALSE,177,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhImpPhB,Inverters.1.Meter.TotWhImpPhB,Wh,,>I,FALSE,179,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWhImpPhC,Inverters.1.Meter.TotWhImpPhC,Wh,,>I,FALSE,181,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotWH_SF,Inverters.1.Meter.TotWH_SF,,,>H,FALSE,183,,Real Energy scale factor,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhExp,Inverters.1.Meter.TotVAhExp,VAh,,>I,FALSE,184,,Total Apparent Energy Exported,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhExpPhA,Inverters.1.Meter.TotVAhExpPhA,VAh,,>I,FALSE,186,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhExpPhB,Inverters.1.Meter.TotVAhExpPhB,VAh,,>I,FALSE,188,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhExpPhC,Inverters.1.Meter.TotVAhExpPhC,VAh,,>I,FALSE,190,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhImp,Inverters.1.Meter.TotVAhImp,VAh,,>I,FALSE,192,,Total Apparent Energy Imported,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhImpPhA,Inverters.1.Meter.TotVAhImpPhA,VAh,,>I,FALSE,194,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhImpPhB,Inverters.1.Meter.TotVAhImpPhB,VAh,,>I,FALSE,196,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVAhImpPhC,Inverters.1.Meter.TotVAhImpPhC,VAh,,>I,FALSE,198,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhImpQ1,Inverters.1.Meter.TotVArhImpQ1,varh,,>I,FALSE,201,,Total Reactive Energy Imported Quadrant 1,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhImpQ1PhA,Inverters.1.Meter.TotVArhImpQ1PhA,varh,,>I,FALSE,203,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhImpQ1PhB,Inverters.1.Meter.TotVArhImpQ1PhB,varh,,>I,FALSE,205,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhImpQ1PhC,Inverters.1.Meter.TotVArhImpQ1PhC,varh,,>I,FALSE,207,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhImpQ2,Inverters.1.Meter.TotVArhImpQ2,varh,,>I,FALSE,209,,Total Reactive Power Imported Quadrant 2,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhImpQ2PhA,Inverters.1.Meter.TotVArhImpQ2PhA,varh,,>I,FALSE,211,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhImpQ2PhB,Inverters.1.Meter.TotVArhImpQ2PhB,varh,,>I,FALSE,213,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhImpQ2PhC,Inverters.1.Meter.TotVArhImpQ2PhC,varh,,>I,FALSE,215,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhExpQ3,Inverters.1.Meter.TotVArhExpQ3,varh,,>I,FALSE,217,,Total Reactive Power Exported Quadrant 3,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhExpQ3PhA,Inverters.1.Meter.TotVArhExpQ3PhA,varh,,>I,FALSE,219,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhExpQ3PhB,Inverters.1.Meter.TotVArhExpQ3PhB,varh,,>I,FALSE,221,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhExpQ3PhC,Inverters.1.Meter.TotVArhExpQ3PhC,varh,,>I,FALSE,223,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhExpQ4,Inverters.1.Meter.TotVArhExpQ4,varh,,>I,FALSE,225,,Total Reactive Power Exported Quadrant 4,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhExpQ4PhA,Inverters.1.Meter.TotVArhExpQ4PhA,varh,,>I,FALSE,227,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhExpQ4PhB,Inverters.1.Meter.TotVArhExpQ4PhB,varh,,>I,FALSE,229,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/TotVArhExpQ4PhC,Inverters.1.Meter.TotVArhExpQ4PhC,varh,,>I,FALSE,231,,,
/Devices/Shirley-MA/South/Inverters/1/Meter/VAr_SF,Inverters.1.Meter.VAr_SF,,,>H,FALSE,161,,Reactive Power scale factor,
/Devices/Shirley-MA/South/Inverters/1/Meter/Evt,Inverters.1.Meter.Evt,,,>I,FALSE,234,,Meter Event Flags,
/Devices/Shirley-MA/South/Inverters/1/Meter/Device/CommSt,Inverters.1.Meter.Device.CommSt,,,>H,FALSE,71,,Overall interface status,
/Devices/Shirley-MA/South/Meter/A,Meter.A,A,,>h,FALSE,131,,Total AC Current,
/Devices/Shirley-MA/South/Meter/AphA,Meter.AphA,A,,>h,FALSE,132,,Phase A Current,
/Devices/Shirley-MA/South/Meter/AphB,Meter.AphB,A,,>h,FALSE,133,,Phase B Current,
/Devices/Shirley-MA/South/Meter/AphC,Meter.AphC,A,,>h,FALSE,134,,Phase C Current,
/Devices/Shirley-MA/South/Meter/PhV,Meter.PhV,V,,>h,FALSE,136,,Line to Neutral AC Voltage (average of active phases),
/Devices/Shirley-MA/South/Meter/PhVphA,Meter.PhVphA,V,,>h,FALSE,137,,Phase Voltage AN,
/Devices/Shirley-MA/South/Meter/PhVphB,Meter.PhVphB,V,,>h,FALSE,138,,Phase Voltage BN,
/Devices/Shirley-MA/South/Meter/PhVphC,Meter.PhVphC,V,,>h,FALSE,139,,Phase Voltage CN,
/Devices/Shirley-MA/South/Meter/PPV,Meter.PPV,V,,>h,FALSE,140,,Line to Line AC Voltage (average of active phases),
/Devices/Shirley-MA/South/Meter/Hz,Meter.Hz,Hz,,>h,FALSE,145,,Frequency,
/Devices/Shirley-MA/South/Meter/W,Meter.W,W,,>h,FALSE,147,,Total Real Power,
/Devices/Shirley-MA/South/Meter/WphA,Meter.WphA,W,,>h,FALSE,148,,,
/Devices/Shirley-MA/South/Meter/WphB,Meter.WphB,W,,>h,FALSE,149,,,
/Devices/Shirley-MA/South/Meter/WphC,Meter.WphC,W,,>h,FALSE,150,,,
/Devices/Shirley-MA/South/Meter/W_SF,Meter.W_SF,,,>H,FALSE,151,,Real Power scale factor,
/Devices/Shirley-MA/South/Meter/VA,Meter.VA,VA,,>h,FALSE,152,,AC Apparent Power,
/Devices/Shirley-MA/South/Meter/VAphA,Meter.VAphA,VA,,>h,FALSE,153,,,
/Devices/Shirley-MA/South/Meter/VAphB,Meter.VAphB,VA,,>h,FALSE,154,,,
/Devices/Shirley-MA/South/Meter/VAphC,Meter.VAphC,VA,,>h,FALSE,155,,,
/Devices/Shirley-MA/South/Meter/VA_SF,Meter.VA_SF,,,>H,FALSE,156,,Apparent Power scale factor,
/Devices/Shirley-MA/South/Meter/VAR,Meter.VAR,var,,>h,FALSE,157,,Reactive Power,
/Devices/Shirley-MA/South/Meter/VARphA,Meter.VARphA,var,,>h,FALSE,158,,,
/Devices/Shirley-MA/South/Meter/VARphB,Meter.VARphB,var,,>h,FALSE,159,,,
/Devices/Shirley-MA/South/Meter/VARphC,Meter.VARphC,var,,>h,FALSE,160,,,
/Devices/Shirley-MA/South/Meter/PF,Meter.PF,Pct,,>h,FALSE,162,,Power Factor,
/Devices/Shirley-MA/South/Meter/PFphA,Meter.PFphA,Pct,,>h,FALSE,163,,,
/Devices/Shirley-MA/South/Meter/PFphB,Meter.PFphB,Pct,,>h,FALSE,164,,,
/Devices/Shirley-MA/South/Meter/PFphC,Meter.PFphC,Pct,,>h,FALSE,165,,,
/Devices/Shirley-MA/South/Meter/PF_SF,Meter.PF_SF,,,>H,FALSE,166,,Power Factor scale factor,
/Devices/Shirley-MA/South/Meter/TotWhExp,Meter.TotWhExp,Wh,,>I,FALSE,167,,Total Real Energy Exported,
/Devices/Shirley-MA/South/Meter/TotWhExpPhA,Meter.TotWhExpPhA,Wh,,>I,FALSE,169,,,
/Devices/Shirley-MA/South/Meter/TotWhExpPhB,Meter.TotWhExpPhB,Wh,,>I,FALSE,171,,,
/Devices/Shirley-MA/South/Meter/TotWhExpPhC,Meter.TotWhExpPhC,Wh,,>I,FALSE,173,,,
/Devices/Shirley-MA/South/Meter/TotWhImp,Meter.TotWhImp,Wh,,>I,FALSE,175,,Total Real Energy Imported,
/Devices/Shirley-MA/South/Meter/TotWhImpPhA,Meter.TotWhImpPhA,Wh,,>I,FALSE,177,,,
/Devices/Shirley-MA/South/Meter/TotWhImpPhB,Meter.TotWhImpPhB,Wh,,>I,FALSE,179,,,
/Devices/Shirley-MA/South/Meter/TotWhImpPhC,Meter.TotWhImpPhC,Wh,,>I,FALSE,181,,,
/Devices/Shirley-MA/South/Meter/TotWH_SF,Meter.TotWH_SF,,,>H,FALSE,183,,Real Energy scale factor,
/Devices/Shirley-MA/South/Meter/TotVAhExp,Meter.TotVAhExp,VAh,,>I,FALSE,184,,Total Apparent Energy Exported,
/Devices/Shirley-MA/South/Meter/TotVAhExpPhA,Meter.TotVAhExpPhA,VAh,,>I,FALSE,186,,,
/Devices/Shirley-MA/South/Meter/TotVAhExpPhB,Meter.TotVAhExpPhB,VAh,,>I,FALSE,188,,,
/Devices/Shirley-MA/South/Meter/TotVAhExpPhC,Meter.TotVAhExpPhC,VAh,,>I,FALSE,190,,,
/Devices/Shirley-MA/South/Meter/TotVAhImp,Meter.TotVAhImp,VAh,,>I,FALSE,192,,Total Apparent Energy Imported,
/Devices/Shirley-MA/South/Meter/TotVAhImpPhA,Meter.TotVAhImpPhA,VAh,,>I,FALSE,194,,,
/Devices/Shirley-MA/South/Meter/TotVAhImpPhB,Meter.TotVAhImpPhB,VAh,,>I,FALSE,196,,,
/Devices/Shirley-MA/South/Meter/TotVAhImpPhC,Meter.TotVAhImpPhC,VAh,,>I,FALSE,198,,,
/Devices/Shirley-MA/South/Meter/TotVArhImpQ1,Meter.TotVArhImpQ1,varh,,>I,FALSE,201,,Total Reactive Energy Imported Quadrant 1,
/Devices/Shirley-MA/South/Meter/TotVArhImpQ1PhA,Meter.TotVArhImpQ1PhA,varh,,>I,FALSE,203,,,
/Devices/Shirley-MA/South/Meter/TotVArhImpQ1PhB,Meter.TotVArhImpQ1PhB,varh,,>I,FALSE,205,,,
/Devices/Shirley-MA/South/Meter/TotVArhImpQ1PhC,Meter.TotVArhImpQ1PhC,varh,,>I,FALSE,207,,,
/Devices/Shirley-MA/South/Meter/TotVArhImpQ2,Meter.TotVArhImpQ2,varh,,>I,FALSE,209,,Total Reactive Power Imported Quadrant 2,
/Devices/Shirley-MA/South/Meter/TotVArhImpQ2PhA,Meter.TotVArhImpQ2PhA,varh,,>I,FALSE,211,,,
/Devices/Shirley-MA/South/Meter/TotVArhImpQ2PhB,Meter.TotVArhImpQ2PhB,varh,,>I,FALSE,213,,,
/Devices/Shirley-MA/South/Meter/TotVArhImpQ2PhC,Meter.TotVArhImpQ2PhC,varh,,>I,FALSE,215,,,
/Devices/Shirley-MA/South/Meter/TotVArhExpQ3,Meter.TotVArhExpQ3,varh,,>I,FALSE,217,,Total Reactive Power Exported Quadrant 3,
/Devices/Shirley-MA/South/Meter/TotVArhExpQ3PhA,Meter.TotVArhExpQ3PhA,varh,,>I,FALSE,219,,,
/Devices/Shirley-MA/South/Meter/TotVArhExpQ3PhB,Meter.TotVArhExpQ3PhB,varh,,>I,FALSE,221,,,
/Devices/Shirley-MA/South/Meter/TotVArhExpQ3PhC,Meter.TotVArhExpQ3PhC,varh,,>I,FALSE,223,,,
/Devices/Shirley-MA/South/Meter/TotVArhExpQ4,Meter.TotVArhExpQ4,varh,,>I,FALSE,225,,Total Reactive Power Exported Quadrant 4,
/Devices/Shirley-MA/South/Meter/TotVArhExpQ4PhA,Meter.TotVArhExpQ4PhA,varh,,>I,FALSE,227,,,
/Devices/Shirley-MA/South/Meter/TotVArhExpQ4PhB,Meter.TotVArhExpQ4PhB,varh,,>I,FALSE,229,,,
/Devices/Shirley-MA/South/Meter/TotVArhExpQ4PhC,Meter.TotVArhExpQ4PhC,varh,,>I,FALSE,231,,,
/Devices/Shirley-MA/South/Meter/VAr_SF,Meter.VAr_SF,,,>H,FALSE,161,,Reactive Power scale factor,
/Devices/Shirley-MA/South/Meter/Evt,Meter.Evt,,,>I,FALSE,234,,Meter Event Flags,
/Devices/Shirley-MA/South/PMC/Device/CommSt,PMC.Device.CommSt,,,>H,FALSE,72,,Overall interface status,
/Devices/Shirley-MA/South/PMC/PmcSystemGuard/GSHeartBeat,PMC.PmcSystemGuard.GSHeartBeat,,,>H,FALSE,484,,Counter.  Updated Every 10 seconds.  Resets daily.,
/Devices/Shirley-MA/South/PMC/PmcSystemGuard/PMCWatchDog,PMC.PmcSystemGuard.PMCWatchDog,,,>H,TRUE,485,,Must be kicked every 100 seconds or PMC will go into Auto Mode.,
/Devices/Shirley-MA/South/Recloser/Device/CommSt,Recloser.Device.CommSt,,,>H,FALSE,71,,Overall interface status,
/Devices/Shirley-MA/South/Weather/BaseMet/TmpAmb,Weather.BaseMet.TmpAmb,C,,>h,FALSE,463,,Ambient Temperature,
/Devices/Shirley-MA/South/Weather/BaseMet/RH,Weather.BaseMet.RH,Pct,,>h,FALSE,464,,Relative Humidity,
