REFERENCE POINT,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes,Variance
/Devices/Shirley-MA/North/Inverters/1/DC_Voltage,Inverters.1.DC_Voltage,,,>h,FALSE,40582,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/AC_Grid_Frequency,Inverters.1.AC_Grid_Frequency,,,>h,FALSE,40583,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/L1-to-L2_AC_Voltage,Inverters.1.L1-to-L2_AC_Voltage,,,>h,FALSE,40584,,Solectria pass through register,
/Devices/Shirley-MA/North/Inverters/1/L2-to-L3_AC_Voltage,Inverters.1.L2-to-L3_AC_Voltage,,,>h,FALSE,40585,,Solectria pass through register,
